AD.06,Sant Julia de Loria__Sant Julià de Loria
AD.05,Ordino__Ordino
AD.04,La Massana__La Massana
AD.03,Encamp__Encamp
AD.02,Canillo__Canillo
AD.07,Andorra la Vella__Andorra la Vella
AD.08,Escaldes-Engordany__Escaldes-Engordany
AE.07,Umm al Qaywayn__Umm al Qaywayn
AE.05,Ra's al Khaymah__Raʼs al Khaymah
AE.03,Dubai__Dubai
AE.06,Ash Shariqah__Ash Shāriqah
AE.04,Al Fujayrah__Al Fujayrah
AE.02,Ajman__Ajman
AE.01,Abu Dhabi__Abu Dhabi
AF.28,Zabul__Zabul
AF.27,Vardak__Vardak
AF.26,Takhar__Takhar
AF.33,Sar-e Pol__Sar-e Pol
AF.32,Samangan__Samangan
AF.40,Parwan__Parwan
AF.29,Paktika__Paktika
AF.36,Paktia__Paktia
AF.39,Oruzgan__Oruzgan
AF.19,Nimroz__Nimroz
AF.18,Nangarhar__Nangarhar
AF.17,Logar__Logar
AF.35,Laghman__Laghman
AF.24,Kunduz__Kunduz
AF.34,Kunar__Kunar
AF.14,Kapisa__Kapisa
AF.23,Kandahar__Kandahar
AF.13,Kabul__Kabul
AF.31,Jowzjan__Jowzjan
AF.11,Herat__Herat
AF.10,Helmand__Helmand
AF.09,Ghowr__Ghowr
AF.08,Ghazni__Ghazni
AF.07,Faryab__Faryab
AF.06,Farah__Farah
AF.05,Bamyan__Bamyan
AF.30,Balkh__Balkh
AF.03,Baghlan__Baghlan
AF.02,Badghis__Badghis
AF.01,Badakhshan__Badakhshan
AF.37,Khowst__Khowst
AF.38,Nuristan__Nuristan
AF.41,Daykundi__Daykundi
AF.42,Panjshir__Panjshir
AG.08,Saint Philip__Saint Philip
AG.07,Saint Peter__Saint Peter
AG.06,Saint Paul__Saint Paul
AG.05,Saint Mary__Saint Mary
AG.04,Saint John__Saint John
AG.03,Saint George__Saint George
AG.09,Redonda__Redonda
AG.01,Barbuda__Barbuda
AI.11205389,Blowing Point__Blowing Point
AI.11205392,Sandy Ground__Sandy Ground
AI.11205393,Sandy Hill__Sandy Hill
AI.11205396,The Valley__The Valley
AI.11205433,East End__East End
AI.11205436,North Hill__North Hill
AI.11205437,West End__West End
AI.11205438,South Hill__South Hill
AI.11205439,The Quarter__The Quarter
AI.11205440,North Side__North Side
AI.11205441,Island Harbour__Island Harbour
AI.11205442,George Hill__George Hill
AI.11205443,Stoney Ground__Stoney Ground
AI.11205444,The Farrington__The Farrington
AL.40,Berat__Berat
AL.41,Diber__Dibër
AL.43,Elbasan__Elbasan
AL.45,Gjirokaster__Gjirokastër
AL.46,Korce__Korçë
AL.47,Kukes__Kukës
AL.42,Durres__Durrës
AL.44,Fier__Fier
AL.48,Lezhe__Lezhë
AL.49,Shkoder__Shkodër
AL.50,Tirane__Tiranë
AL.51,Vlore__Vlorë
AM.02,Ararat__Ararat
AM.08,Syunik__Syunik
AM.10,Vayots Dzor__Vayots Dzor
AM.11,Yerevan__Yerevan
AM.01,Aragatsotn__Aragatsotn
AM.03,Armavir__Armavir
AM.04,Gegharkunik__Gegharkunik
AM.05,Kotayk__Kotayk
AM.06,Lori__Lori
AM.07,Shirak__Shirak
AM.09,Tavush__Tavush
AO.18,Lunda Sul__Lunda Sul
AO.17,Luanda Norte__Luanda Norte
AO.14,Moxico__Moxico
AO.04,Cuando Cobango__Cuando Cobango
AO.16,Zaire__Zaire
AO.15,Uige__Uíge
AO.12,Malanje__Malanje
AO.20,Luanda__Luanda
AO.05,Cuanza Norte__Cuanza Norte
AO.03,Cabinda__Cabinda
AO.19,Bengo__Bengo
AO.13,Namibe__Namibe
AO.09,Huila__Huíla
AO.08,Huambo__Huambo
AO.07,Cunene__Cunene
AO.06,Kwanza Sul__Kwanza Sul
AO.02,Bie__Bíe
AO.01,Benguela__Benguela
AR.14,Misiones__Misiones
AR.09,Formosa__Formosa
AR.07,Buenos Aires F.D.__Buenos Aires F.D.
AR.08,Entre Rios__Entre Rios
AR.06,Corrientes__Corrientes
AR.01,Buenos Aires__Buenos Aires
AR.24,Tucuman__Tucuman
AR.23,Tierra del Fuego__Tierra del Fuego
AR.22,Santiago del Estero__Santiago del Estero
AR.21,Santa Fe__Santa Fe
AR.20,Santa Cruz__Santa Cruz
AR.19,San Luis__San Luis
AR.18,San Juan__San Juan
AR.17,Salta__Salta
AR.16,Rio Negro__Rio Negro
AR.15,Neuquen__Neuquen
AR.13,Mendoza__Mendoza
AR.12,La Rioja__La Rioja
AR.11,La Pampa__La Pampa
AR.10,Jujuy__Jujuy
AR.05,Cordoba__Cordoba
AR.04,Chubut__Chubut
AR.03,Chaco__Chaco
AR.02,Catamarca__Catamarca
AS.050,Western District__Western District
AS.040,Swains Island__Swains Island
AS.010,Eastern District__Eastern District
AS.020,Manu'a__Manu'a
AS.030,Rose Island__Rose Island
AT.09,Vienna__Vienna
AT.08,Vorarlberg__Vorarlberg
AT.07,Tyrol__Tyrol
AT.06,Styria__Styria
AT.05,Salzburg__Salzburg
AT.04,Upper Austria__Upper Austria
AT.03,Lower Austria__Lower Austria
AT.02,Carinthia__Carinthia
AT.01,Burgenland__Burgenland
AU.08,Western Australia__Western Australia
AU.05,South Australia__South Australia
AU.03,Northern Territory__Northern Territory
AU.07,Victoria__Victoria
AU.06,Tasmania__Tasmania
AU.04,Queensland__Queensland
AU.02,New South Wales__New South Wales
AU.01,ACT__ACT
AX.211,Mariehamns stad__Mariehamns stad
AX.212,Alands landsbygd__Ålands landsbygd
AX.213,Alands skaergard__Ålands skärgård
AZ.12,Beylaqan__Beyləqan
AZ.69,Zangilan Rayon__Zǝngilan
AZ.66,Yardimli__Yardımlı
AZ.55,Susa__Şuşa
AZ.49,Salyan__Salyan
AZ.46,Sabirabad__Sabirabad
AZ.45,Saatli__Saatlı
AZ.13,Bilasuvar Rayon__Bilǝsuvar
AZ.36,Neftcala__Neftçala
AZ.35,Nakhichevan__Nakhichevan
AZ.32,Masally__Masally
AZ.31,Lerik__Lerik
AZ.29,Lankaran__Lənkəran
AZ.28,Lacin__Laçın
AZ.43,Qubadli__Qubadlı
AZ.24,Imisli__İmişli
AZ.18,Fuezuli__Füzuli
AZ.14,Jabrayil__Jabrayil
AZ.15,Jalilabad__Jalilabad
AZ.08,Astara__Astara
AZ.64,Xocali__Xocalı
AZ.02,Aghjabadi Rayon__Ağcabǝdi
AZ.03,Agdam__Ağdam
AZ.07,Shirvan__Shirvan
AZ.30,Lankaran Sahari__Lankaran Sahari
AZ.56,Shusha__Şuşa Şəhəri
AZ.57,Tartar Rayon__Tǝrtǝr
AZ.61,Xankandi Sahari__Xankǝndi
AZ.65,Khojavend__Khojavend
AZ.71,Zardab__Zərdab
AZ.70,Zaqatala__Zaqatala
AZ.67,Yevlax__Yevlax
AZ.37,Oguz__Oğuz
AZ.59,Ucar__Ucar
AZ.58,Tovuz__Tovuz
AZ.50,Samaxi__Şamaxı
AZ.47,Shaki Rayon__Şǝki
AZ.51,Shamkir Rayon__Şǝmkir
AZ.27,Kurdamir Rayon__Kürdǝmir
AZ.38,Qabala Rayon__Qǝbǝlǝ
AZ.44,Qusar__Qusar
AZ.42,Quba__Quba
AZ.62,Goygol Rayon__Goygol Rayon
AZ.60,Xacmaz__Xaçmaz
AZ.26,Kalbajar__Kalbajar
AZ.40,Qazax__Qazax
AZ.21,Goranboy__Goranboy
AZ.39,Qakh Rayon__Qǝx
AZ.25,Ismayilli__İsmayıllı
AZ.22,Goeycay__Göyçay
AZ.17,Shabran__Shabran
AZ.16,Dashkasan Rayon__Daşkǝsǝn
